GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
products,com.bootexample4.products,ProductsApplication,8,0,0,0,3,0,2,0,2,0
products,com.bootexample4.products.model,Product,0,31,0,0,0,13,0,9,0,9
products,com.bootexample4.products.controller,ProductController,35,47,0,0,7,10,2,7,2,7
